combo_id,dataset,method,dataset_seed,method_seed,segmenter.feature_distance_weight,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError
0,S3ObAvoid,cluster,125949,0,0.1,7.7,0.007533873639982012,0.003697328161846071,0.18946665138799867
0,S3ObAvoid,cluster,125949,1,0.1,7.7,0.007533873639982012,0.003697328161846071,0.18946665138799867
0,S3ObAvoid,cluster,125949,2,0.1,7.7,0.007533873639982012,0.003697328161846071,0.18946665138799867
0,S3ObAvoid,cluster,125949,3,0.1,7.7,0.007533873639982012,0.003697328161846071,0.18946665138799867
0,S3ObAvoid,cluster,125949,4,0.1,7.7,0.007533873639982012,0.003697328161846071,0.18946665138799867
0,S3ObAvoid,cluster,125949,5,0.1,7.7,0.007533873639982012,0.003697328161846071,0.18946665138799867
0,S3ObAvoid,cluster,125949,6,0.1,7.7,0.007533873639982012,0.003697328161846071,0.18946665138799867
1,S3ObAvoid,cluster,125949,0,0.3,8.4,0.007980137328174408,0.0037963182115352857,0.18131615408636517
1,S3ObAvoid,cluster,125949,1,0.3,8.4,0.007980137328174408,0.0037963182115352857,0.18131615408636517
1,S3ObAvoid,cluster,125949,2,0.3,8.4,0.007980137328174408,0.0037963182115352857,0.18131615408636517
1,S3ObAvoid,cluster,125949,3,0.3,8.4,0.007980137328174408,0.0037963182115352857,0.18131615408636517
1,S3ObAvoid,cluster,125949,4,0.3,8.4,0.007980137328174408,0.0037963182115352857,0.18131615408636517
1,S3ObAvoid,cluster,125949,5,0.3,8.4,0.007980137328174408,0.0037963182115352857,0.18131615408636517
1,S3ObAvoid,cluster,125949,6,0.3,8.4,0.007980137328174408,0.0037963182115352857,0.18131615408636517
2,S3ObAvoid,cluster,125949,0,1.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
2,S3ObAvoid,cluster,125949,1,1.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
2,S3ObAvoid,cluster,125949,2,1.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
2,S3ObAvoid,cluster,125949,3,1.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
2,S3ObAvoid,cluster,125949,4,1.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
2,S3ObAvoid,cluster,125949,5,1.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
2,S3ObAvoid,cluster,125949,6,1.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
3,S3ObAvoid,cluster,125949,0,3.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
3,S3ObAvoid,cluster,125949,1,3.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
3,S3ObAvoid,cluster,125949,2,3.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
3,S3ObAvoid,cluster,125949,3,3.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
3,S3ObAvoid,cluster,125949,4,3.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
3,S3ObAvoid,cluster,125949,5,3.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
3,S3ObAvoid,cluster,125949,6,3.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
4,S3ObAvoid,cluster,125949,0,10.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
4,S3ObAvoid,cluster,125949,1,10.0,9.85,0.008867229835570423,0.004033577062384695,0.18011829619380343
4,S3ObAvoid,cluster,125949,2,10.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
4,S3ObAvoid,cluster,125949,3,10.0,9.85,0.008867229835570423,0.004033577062384695,0.18011829619380343
4,S3ObAvoid,cluster,125949,4,10.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
4,S3ObAvoid,cluster,125949,5,10.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
4,S3ObAvoid,cluster,125949,6,10.0,9.7,0.008604277624883827,0.003976972738419729,0.17800209532489988
