combo_id,num_runs,feat_weight,gmm_K,x_weight,MeanAbsCutpointError_mean,MeanAbsCutpointError_std,MeanConstraintError_mean,MeanConstraintError_std
1,7,0.5,1,0.01,16.435714285714287,12.870695238345416,0.010960540064254754,0.0041247176951282535
3,7,0.5,1,0.1,16.34285714285714,12.692023045188336,0.010961965780338648,0.004083965419470296
12,7,0.5,2,0.003,16.442857142857143,12.8768737491295,0.010962739449834408,0.004126180274962114
0,7,0.5,1,0.003,16.442857142857143,12.8768737491295,0.010963758300359895,0.004125020326171536
24,7,0.5,3,0.003,16.442857142857143,12.8768737491295,0.010965048127935006,0.004124886017925892
2,7,0.5,1,0.03,16.42142857142857,12.78402622535687,0.010971888263032263,0.0041035852520510925
13,7,0.5,2,0.01,16.478571428571428,12.83315619632145,0.01098253858341869,0.004111442559451352
25,7,0.5,3,0.01,16.478571428571428,12.83315619632145,0.010982897445317854,0.0041114631907909985
14,7,0.5,2,0.03,16.45714285714286,12.790102997782213,0.010990863125219949,0.004098819440346426
26,7,0.5,3,0.03,16.485714285714288,12.777874691538223,0.011004036105199299,0.0040931114106541495
15,7,0.5,2,0.1,16.47142857142857,12.680971603797815,0.011027640104786315,0.004070909956225977
7,7,1.0,1,0.1,16.535714285714285,12.808582900476047,0.011039760853611988,0.004075776369815812
6,7,1.0,1,0.03,16.55,12.82082569215304,0.011044170675430367,0.004081124254238343
4,7,1.0,1,0.003,16.55,12.82082569215304,0.011046989385433937,0.004082321363795777
5,7,1.0,1,0.01,16.55,12.82082569215304,0.01104784715086299,0.004081563756107764
16,7,1.0,2,0.003,16.55,12.82082569215304,0.011048071465027473,0.004082031525026583
29,7,1.0,3,0.01,16.55,12.82082569215304,0.011048387966504694,0.004082399432465564
28,7,1.0,3,0.003,16.55,12.82082569215304,0.011048493687251356,0.004081851283867446
18,7,1.0,2,0.03,16.55,12.82082569215304,0.01105065673305459,0.004080479401094871
17,7,1.0,2,0.01,16.55,12.82082569215304,0.01105134107309121,0.004080648014637037
30,7,1.0,3,0.03,16.564285714285713,12.808722315162383,0.011054916840855042,0.004077776975009508
19,7,1.0,2,0.1,16.564285714285713,12.772451221440685,0.011062998016228455,0.004069878113630074
27,7,0.5,3,0.1,16.52857142857143,12.622623033462498,0.011063976356502,0.0040552952954497675
22,7,2.0,2,0.03,16.585714285714285,12.790725275027391,0.011072570846882785,0.004065502077439594
34,7,2.0,3,0.03,16.585714285714285,12.790725275027391,0.011073989616406012,0.004065130395018794
11,7,2.0,1,0.1,16.585714285714285,12.790725275027391,0.01107403093459702,0.004062322353522331
9,7,2.0,1,0.01,16.599999999999998,12.803013038232168,0.01107578857488936,0.004064295903214025
10,7,2.0,1,0.03,16.585714285714285,12.790725275027391,0.011076416673128312,0.004062873143713982
33,7,2.0,3,0.01,16.599999999999998,12.803013038232168,0.011076792235462646,0.004063514840418235
21,7,2.0,2,0.01,16.599999999999998,12.803013038232168,0.011077122485119679,0.004064096487033547
23,7,2.0,2,0.1,16.599999999999998,12.803013038232168,0.011077668967746649,0.004067465400170697
8,7,2.0,1,0.003,16.62857142857143,12.827616890991125,0.011078323109812629,0.004067045196684166
20,7,2.0,2,0.003,16.62857142857143,12.827616890991125,0.011078724265988925,0.004066984798545676
32,7,2.0,3,0.003,16.62857142857143,12.827616890991125,0.011078819487569721,0.00406696426200152
31,7,1.0,3,0.1,16.57857142857143,12.736473417003658,0.011081960837275162,0.004061586084100402
35,7,2.0,3,0.1,16.642857142857142,12.779543602722185,0.011097925387967028,0.004058757021599295
