combo_id,num_runs,equality_dispersion_ratio_threshold,lambda_activation_consensus,MeanAbsCutpointError_mean,MeanAbsCutpointError_std,MeanConstraintErrorRaw_mean,MeanConstraintErrorRaw_std,MeanConstraintError_mean,MeanConstraintError_std,MeanStageSubgoalError_mean,MeanStageSubgoalError_std
3,1,0.06,0.2,4.15,0.0,0.0025761066440937435,0.0,0.003105888322439424,0.0,0.12787997368968979,0.0
2,1,0.05,0.2,4.3,0.0,0.0025840302804693693,0.0,0.003111237270007813,0.0,0.12440521618450591,0.0
7,1,0.05,0.25,4.5,0.0,0.0025840302804693693,0.0,0.003111237270007813,0.0,0.12475701169071227,0.0
12,1,0.05,0.3,4.5,0.0,0.0025840302804693693,0.0,0.003111237270007813,0.0,0.12475701169071227,0.0
11,1,0.04,0.3,3.9,0.0,0.002643843393436476,0.0,0.0032711010430117996,0.0,0.12077726546213444,0.0
8,1,0.06,0.25,4.9,0.0,0.0025519957621130598,0.0,0.00352386086017046,0.0,0.14535073147157154,0.0
1,1,0.04,0.2,3.45,0.0,0.002767827622957809,0.0,0.003825932135399873,0.0,0.12140157308685104,0.0
6,1,0.04,0.25,3.4,0.0,0.002767827622957809,0.0,0.003825932135399873,0.0,0.12122802016776682,0.0
10,1,0.03,0.3,2.9,0.0,0.0029929462666480073,0.0,0.004632220713352144,0.0,0.08826365051706067,0.0
0,1,0.03,0.2,2.65,0.0,0.0029930332179562164,0.0,0.004632558822993311,0.0,0.0884489493916698,0.0
5,1,0.03,0.25,2.65,0.0,0.0029930332179562164,0.0,0.004632558822993311,0.0,0.0884489493916698,0.0
4,1,0.075,0.2,7.6,0.0,0.0034513249598233722,0.0,0.0063909392670948445,0.0,0.114553977029474,0.0
9,1,0.075,0.25,7.65,0.0,0.0034513249598233722,0.0,0.0063909392670948445,0.0,0.1146014699599703,0.0
13,1,0.06,0.3,9.45,0.0,0.003909302314556782,0.0,0.008152678852305214,0.0,0.12740806234597526,0.0
14,1,0.075,0.3,10.0,0.0,0.003979732176743574,0.0,0.008445647565136365,0.0,0.09892354973908621,0.0
